cod_dpto,dpto,departamento_limpio,anio,total_casos,casos_femenino,casos_masculino,casos_adultos,casos_menores,ipm_total
47,MAGDALENA,MAGDALENA,2017,1723,1474,249,1615,29,
47,MAGDALENA,MAGDALENA,2018,1289,1093,194,1230,12,36.4
47,MAGDALENA,MAGDALENA,2019,1612,1359,253,1528,26,31.6
47,MAGDALENA,MAGDALENA,2020,1577,1298,279,1497,33,33.4
47,MAGDALENA,MAGDALENA,2021,1972,1645,326,1918,10,32.4
47,MAGDALENA,MAGDALENA,2022,2100,1752,344,2021,24,23.0
47,MAGDALENA,MAGDALENA,2023,2110,1773,333,2034,32,21.4
47,MAGDALENA,MAGDALENA,2024,2091,1627,459,1997,43,19.2
47,MAGDALENA,MAGDALENA,2025,1839,1438,395,1750,40,
50,META,META,2010,1127,985,141,1094,11,
50,META,META,2011,1158,1013,145,1101,24,
50,META,META,2012,1721,1422,299,1616,41,
50,META,META,2013,1307,1085,221,1222,45,
50,META,META,2014,1675,1408,267,1606,14,
50,META,META,2015,2009,1711,298,1956,15,
50,META,META,2016,2493,2156,337,2396,24,
50,META,META,2017,2833,2406,427,2716,28,
50,META,META,2018,2434,2044,388,2348,34,15.6
50,META,META,2019,3005,2498,503,2844,67,19.1
50,META,META,2020,3113,2575,537,2976,44,14.1
50,META,META,2021,3519,2917,601,3343,82,14.9
50,META,META,2022,2524,2072,449,2397,70,11.3
50,META,META,2023,2033,1676,355,1952,49,12.9
50,META,META,2024,2278,1854,422,2180,38,10.4
50,META,META,2025,2410,1979,427,2302,52,
52,NARIÑO,NARINO,2010,315,253,62,298,1,
52,NARIÑO,NARINO,2011,1189,983,204,1147,15,
52,NARIÑO,NARINO,2012,1360,1178,181,1342,2,
52,NARIÑO,NARINO,2013,1021,862,158,1010,3,
52,NARIÑO,NARINO,2014,906,782,124,885,4,
52,NARIÑO,NARINO,2015,1612,1386,224,1559,6,
52,NARIÑO,NARINO,2016,2020,1691,329,1954,28,
52,NARIÑO,NARINO,2017,2904,2386,516,2813,29,
52,NARIÑO,NARINO,2018,2711,2120,589,2514,118,33.1
52,NARIÑO,NARINO,2019,3292,2503,789,3058,118,23.2
52,NARIÑO,NARINO,2020,2235,1790,445,2128,53,27.3
52,NARIÑO,NARINO,2021,2643,2058,585,2540,57,22.1
52,NARIÑO,NARINO,2022,3313,2511,797,3100,109,17.6
52,NARIÑO,NARINO,2023,3148,2417,727,3006,82,16.6
52,NARIÑO,NARINO,2024,3339,2536,797,3148,119,18.1
52,NARIÑO,NARINO,2025,2832,2130,695,2609,114,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2010,198,154,44,192,0,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2011,315,254,61,310,1,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2012,1058,826,232,1012,9,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2013,1665,1324,340,1591,18,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2014,2620,2211,409,2504,33,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2015,2993,2524,469,2889,20,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2016,2137,1767,370,2039,22,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2017,2004,1726,278,1921,24,
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2018,2037,1654,383,1972,17,29.5
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2019,2648,2135,512,2508,49,24.2
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2020,2660,2069,591,2539,55,26.1
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2021,2904,2321,581,2771,64,24.7
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2022,1375,1113,262,1310,35,18.5
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2023,1536,1244,284,1442,40,20.5
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2024,1668,1328,329,1558,52,15.2
54,NORTE DE SANTANDER,NORTE DE SANTANDER,2025,2137,1599,531,1979,93,
86,PUTUMAYO,PUTUMAYO,2010,187,154,33,179,1,
86,PUTUMAYO,PUTUMAYO,2011,213,171,42,205,2,
86,PUTUMAYO,PUTUMAYO,2012,173,133,40,160,3,
86,PUTUMAYO,PUTUMAYO,2013,150,124,26,141,2,
86,PUTUMAYO,PUTUMAYO,2014,190,153,37,179,1,
86,PUTUMAYO,PUTUMAYO,2015,250,216,34,240,2,
86,PUTUMAYO,PUTUMAYO,2016,303,266,37,291,2,
86,PUTUMAYO,PUTUMAYO,2017,361,306,55,333,6,
86,PUTUMAYO,PUTUMAYO,2018,358,302,56,343,6,24.1
86,PUTUMAYO,PUTUMAYO,2019,461,370,88,426,14,25.4
86,PUTUMAYO,PUTUMAYO,2020,519,430,89,493,12,27.8
86,PUTUMAYO,PUTUMAYO,2021,542,358,184,510,13,22.8
86,PUTUMAYO,PUTUMAYO,2022,450,323,127,422,10,20.8
86,PUTUMAYO,PUTUMAYO,2023,580,465,111,533,27,13.2
86,PUTUMAYO,PUTUMAYO,2024,547,461,83,522,8,11.8
86,PUTUMAYO,PUTUMAYO,2025,459,374,80,427,14,
63,QUINDÍO,QUINDIO,2010,89,70,18,74,2,
63,QUINDÍO,QUINDIO,2011,95,75,20,77,0,
63,QUINDÍO,QUINDIO,2012,374,291,83,316,11,
63,QUINDÍO,QUINDIO,2013,378,303,75,336,10,
63,QUINDÍO,QUINDIO,2014,241,177,64,218,10,
63,QUINDÍO,QUINDIO,2015,439,361,78,391,7,
63,QUINDÍO,QUINDIO,2016,643,529,114,581,13,
63,QUINDÍO,QUINDIO,2017,642,521,121,577,14,
63,QUINDÍO,QUINDIO,2018,593,478,115,527,16,14.2
63,QUINDÍO,QUINDIO,2019,672,543,129,618,20,10.2
63,QUINDÍO,QUINDIO,2020,810,655,155,731,32,12.9
63,QUINDÍO,QUINDIO,2021,787,625,162,710,35,10.9
63,QUINDÍO,QUINDIO,2022,673,531,142,610,27,10.0
63,QUINDÍO,QUINDIO,2023,1033,775,255,971,33,7.5
63,QUINDÍO,QUINDIO,2024,809,631,178,741,27,7.4
63,QUINDÍO,QUINDIO,2025,883,654,229,814,25,
66,RISARALDA,RISARALDA,2010,984,791,192,929,11,
66,RISARALDA,RISARALDA,2011,1582,1257,323,1440,30,
66,RISARALDA,RISARALDA,2012,1919,1570,348,1797,19,
66,RISARALDA,RISARALDA,2013,1731,1379,352,1604,12,
66,RISARALDA,RISARALDA,2014,2057,1653,404,1923,29,
66,RISARALDA,RISARALDA,2015,1737,1449,287,1621,20,
66,RISARALDA,RISARALDA,2016,2060,1689,370,1899,45,
66,RISARALDA,RISARALDA,2017,1885,1514,371,1681,86,
66,RISARALDA,RISARALDA,2018,1484,1209,275,1370,39,11.6
66,RISARALDA,RISARALDA,2019,1987,1601,386,1808,75,11.1
66,RISARALDA,RISARALDA,2020,1850,1412,438,1725,49,13.1
66,RISARALDA,RISARALDA,2021,2464,1864,600,2367,39,10.7
66,RISARALDA,RISARALDA,2022,1467,1144,323,1364,36,10.0
66,RISARALDA,RISARALDA,2023,1861,1255,594,1791,24,11.8
66,RISARALDA,RISARALDA,2024,1753,1374,370,1669,31,9.5
66,RISARALDA,RISARALDA,2025,1536,1178,347,1475,25,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2010,2,2,0,2,0,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2011,3,3,0,3,0,
